,restaurant_id,user_id,is_positive
606,2,589,True
607,2,597,True
610,2,618,True
614,2,636,True
616,2,651,True
617,2,700,True
618,2,725,True
621,2,785,True
622,2,787,True
625,2,851,True
626,2,857,True
631,2,932,True
635,2,953,True
637,2,954,True
638,2,958,True
642,2,1024,True
644,2,1025,True
646,2,1040,True
648,2,1042,True
649,2,1048,True
650,2,1054,True
656,2,1181,True
660,2,1242,True
664,2,1305,True
668,2,1316,True
670,2,1336,True
672,2,1720,True
674,2,1722,True
676,2,1796,True
677,2,1800,True
679,2,1858,True
683,2,2155,True
686,2,2186,True
690,2,2386,True
694,2,2492,True
696,2,2557,True
697,2,2569,True
699,2,2627,True
700,2,2649,True
702,2,2784,True
705,2,2857,True
706,2,2879,True
707,2,2893,True
712,2,2962,True
714,2,3013,True
715,2,3032,True
716,2,3108,True
718,2,3117,True
719,2,3118,True
720,2,3120,True
722,2,3121,True
724,2,3149,True
726,2,3163,True
729,2,3204,True
731,2,3228,True
733,2,3253,True
734,2,3281,True
736,2,3299,True
737,2,3303,True
739,2,3307,True
740,2,3365,True
743,2,3390,True
747,2,3421,True
750,2,3468,True
754,2,3520,True
755,2,3550,True
760,2,3630,True
762,2,3658,True
765,2,3686,True
767,2,3744,True
769,2,3764,True
770,2,3853,True
773,2,3951,True
781,2,4193,True
783,2,4197,True
785,2,4211,True
786,2,4212,True
787,2,4229,True
789,2,4234,True
790,2,4247,True
796,2,4346,True
797,2,4394,True
800,2,4436,True
802,2,4452,True
803,2,4472,True
806,2,4513,True
807,2,4530,True
811,2,4666,True
817,2,4967,True
820,2,4992,True
828,2,5141,True
829,2,5152,True
830,2,5162,True
836,2,5364,True
845,2,5498,True
850,2,5562,True
855,2,5685,True
857,2,5699,True
858,2,5876,True
860,2,5893,True
865,2,6039,True
866,2,6040,True
871,2,6277,True
873,2,6461,True
878,2,6667,True
880,2,6733,True
882,2,6848,True
884,2,6901,True
885,2,6907,True
886,2,6980,True
889,2,7060,True
890,2,7071,True
897,2,7442,True
900,2,7457,True
902,3,13,True
911,3,62,True
914,3,70,True
917,3,112,True
921,3,125,True
922,3,138,True
924,3,143,True
926,3,147,True
928,3,152,True
931,3,179,True
933,3,234,True
935,3,295,True
938,3,310,True
940,3,330,True
942,3,353,True
943,3,360,True
946,3,394,True
951,3,428,True
952,3,459,True
953,3,479,True
954,3,483,True
955,3,491,True
960,3,551,True
963,3,577,True
967,3,586,True
969,3,589,True
970,3,597,True
974,3,614,True
976,3,635,True
978,3,636,True
980,3,640,True
983,3,662,True
985,3,696,True
987,3,716,True
990,3,725,True
992,3,729,True
994,3,785,True
996,3,787,True
999,3,811,True
1003,3,950,True
1005,3,953,True
1007,3,954,True
1009,3,956,True
1014,3,1040,True
1015,3,1048,True
1016,3,1054,True
1023,3,1190,True
1026,3,1226,True
1030,3,1305,True
1034,3,1343,True
1039,3,1646,True
1040,3,1720,True
1042,3,1750,True
1045,3,1796,True
1052,3,1910,True
1054,3,1926,True
1058,3,2186,True
1062,3,2241,True
1064,3,2364,True
